10933,A2,E30,420,38,437,995,17,957,W?ZE? WISKITKI-W?ZE? GRODZISK MAZ. /579/ ,45690,85,35701,4059,847,4775,223,0,0,14,62
10934,A2,E30,437,995,450,892,12,897,W?ZE? GRODZISK MAZ.-W?ZE? PRUSZK?W ,56908,130,46621,4313,1120,4485,238,1,0,14,63
10935,A2,E30,450,892,454,910,4,18,W?ZE? PRUSZK?W-W?ZE? KONOTOPA /S2,75156,231,62064,5698,2132,4799,232,0,0,14,64
10601,2c,E30,0,0,0,711,3,532,CHOSZCZ?WKA-W?ZE? ARYN?W /50/ S8/ ,9532,37,7721,917,357,453,47,0,0,14,65
10601,A2a,E30,0,0,2,821,3,532,CHOSZCZ?WKA-W?ZE? ARYN?W /50/ ,9532,37,7721,917,357,453,47,0,0,14,65
10604,A2a,E30,2,821,19,286,16,465,W?ZE? ARYN?W /50/-W?ZE? RYCZO?EK ,12397,42,8623,1480,330,1881,41,0,0,14,66
30601,A4,E40,0,0,1,761,1,761,GR.PA?STWA-W?ZE? ZGORZELEC /DK 30 i 94/ ,17886,23,9180,2216,671,5713,83,0,0,2,67
30623,A4,E40,1,761,17,954,16,193,W?ZE? ZGORZELEC /DK 30 i 94/-W?ZE? GODZIESZ?W /DW296/ ,17638,22,9851,2347,439,4891,88,0,0,2,68
30624,A4,E40,17,954,44,715,26,761,W?ZE? GODZIESZ?W /DW296/-W?ZE? BOLES?AWIEC /DW297/ ,18415,21,10174,2279,510,5341,90,0,0,2,69
30625,A4,E40,44,715,50,761,6,46,W?ZE? BOLES?AWIEC /DW297/-W?ZE? KRZY?OWA /DK A18/ ,17650,22,9862,2010,682,4990,84,0,0,2,70
30520,A4,E40/E36,50,761,62,235,11,474,W?ZE? KRZY?OWA /DK A18/-W?ZE? KRZYWA /DK 94/ ,25279,27,13861,2907,742,7608,133,1,0,2,71
30501,A4,E40/E36,62,235,73,71,10,836,W?ZE? KRZYWA /DK 94/-W?ZE? CHOJN?W /DW328/ ,27620,64,14503,4184,688,8072,109,0,0,2,72
30502,A4,E40/E36,73,71,84,187,11,116,W?ZE? CHOJN?W /DW328/-WEZE? Z?OTORYJA /DW364/ ,27131,38,15433,2528,932,8057,143,0,0,2,73
30503,A4,E40/E36,84,187,92,379,8,192,WEZE? Z?OTORYJA /DW364/-W?ZE? LEGNICA /DK 3/ ,28882,31,16983,2709,872,8132,155,0,0,2,74
30504,A4,E40,92,379,104,906,12,527,W?ZE? LEGNICA /DK 3/-W?ZE? W?DRO?E WIELKIE /DP 2184D/ ,31687,39,18717,3032,1086,8633,180,0,0,2,75
30521,A4,E40,104,906,112,369,7,463,W?ZE? W?DRO?E WIELKIE /DP 2184D/-W?ZE? BUDZISZ?W /DW345/ ,33901,43,20373,3516,914,8842,213,0,0,2,76
30201,A4,E40,112,369,125,704,13,335,W?ZE? BUDZISZ?W /DW345/-W?ZE? KOSTOM?OTY /DK 5/ ,31549,32,19368,2662,1259,8054,174,0,0,2,77
30202,A4,E40,125,704,137,585,11,881,W?ZE? KOSTOM?OTY /DK 5/-W?ZE? K?TY WR. /DW347/ ,47570,110,29993,6246,1126,9810,285,0,0,2,78
